# SYNTHETIC-FALLBACK-DATA: NOT REAL MARKET PRICES
date,open,high,low,close,volume
2008-01-01,99.70914504336716,100.53168616439031,97.59566344199376,99.06367480319203,33982177.0
2008-01-02,99.04415291111036,99.7754290022531,98.54149097343064,99.15845998784188,52420694.0
2008-01-03,98.39575193034197,98.90761211775046,98.50440662527919,98.70600937151482,1748068.0
2008-01-04,103.61054061345692,105.20726413621632,102.48567933860011,103.84647173740822,52179370.0
2008-01-07,103.61220951917626,103.98860926154758,102.94984052982724,103.46922489568742,67284000.0
2008-01-08,102.9636092384301,103.61590971676341,101.98666548132078,102.8012875990421,5065756.0
2008-01-09,103.81518497692822,103.85962004202948,103.71353673330839,103.78657838766894,25888058.0
2008-01-10,101.55786213216597,102.09494615913934,101.56154279653421,101.82824447783678,30239685.0
2008-01-11,106.21630468090115,106.24906244631148,104.8786295539391,105.5638460001253,7261759.0
2008-01-14,111.47829304134599,112.68306785013338,110.01494252228733,111.34900518621036,45716360.0
2008-01-15,112.95466075288782,114.7208684123956,112.06436654491016,113.39261747865288,21928609.0
2008-01-16,113.45548395439809,114.56818343907462,112.28983151418534,113.42900747662998,50486524.0
2008-01-17,118.84581164177453,119.2259556058467,117.0148113889424,118.12038349739456,51898381.0
2008-01-18,118.1278367423265,119.42034960040628,118.17496381127668,118.79765670584148,64736506.0
2008-01-21,117.33699703655326,118.6126612348842,115.26625959246277,116.93946041367349,2184909.0
2008-01-22,117.8140970183948,118.63179329343107,117.58302739664369,118.10741034503738,77693352.0
2008-01-23,115.39575758225912,116.75334498480788,115.14761877470191,115.9504818797549,65011866.0
2008-01-24,116.67112740130189,116.69062154853769,116.50580576545521,116.59821365699645,75848917.0
2008-01-25,117.26707907704147,118.54147132295469,115.78492409244959,117.16319770770214,72928431.0
2008-01-28,113.67195677889619,114.63436256929499,112.16339434562185,113.39887845745842,52315454.0
2008-01-29,114.49825836004635,116.22539175309586,113.32322997733938,114.77431086521763,50570599.0
2008-01-30,111.95223350889258,113.01607361814824,112.31438355347484,112.66522858581153,55387028.0
2008-01-31,116.785369544106,116.72351947230652,116.17016141015334,116.44684044122992,50851734.0
2008-02-01,116.54400032993509,119.14633845432097,115.60430940913986,117.37532393173042,78798029.0
2008-02-04,113.27994704325644,114.02744152155356,112.68003545947548,113.35373849051452,41898950.0
2008-02-05,117.62078878268225,118.65976101642507,116.7759452017918,117.71785310910843,79101966.0
2008-02-06,119.46295936309386,120.38752949851057,120.28173227542011,120.33463088696534,44630664.0
2008-02-07,119.37744750396033,121.86129514671357,117.59941616275368,119.73035565473363,58650956.0
2008-02-08,115.96681793329913,116.78694839719859,114.79850659968503,115.7927274984418,44301212.0
2008-02-11,117.90195228291307,118.32614997341649,117.48943821038374,117.90779409190012,40677024.0
2008-02-12,116.98686955990823,117.19459987476915,116.15218287392196,116.67339137434556,73612723.0
2008-02-13,114.69261891895361,116.10414136384362,112.21306285374071,114.15860210879217,15006994.0
2008-02-14,116.14874900843466,116.76947778077823,116.11134332579537,116.4404105532868,57714968.0
2008-02-15,117.65368021878785,118.78974797652772,118.12694686043227,118.45834741848,78294849.0
2008-02-18,120.66274401761197,122.57478657367369,117.13211456049125,119.85345056708248,1479405.0
2008-02-19,120.89838326523744,120.801180435302,120.41324971147601,120.607215073389,48387088.0
2008-02-20,117.79133021938158,117.87406363249369,117.4958044807978,117.68493405664574,31784193.0
2008-02-21,121.13728774032406,120.87953470876437,119.37990635879974,120.12972053378206,32572202.0
2008-02-22,117.34991666977376,118.3577019448827,114.96143908111759,116.65957051300015,25010115.0
2008-02-25,120.72108486911182,121.99203116731918,120.84172763781677,121.41687940256799,61149059.0
